age,qx
0,0.005
1,0.0003
2,0.0003
3,0.0003
4,0.0003
5,0.0003
6,0.0003
7,0.0003
8,0.0003
9,0.0003
10,0.0003
11,0.0003
12,0.0003
13,0.0003
14,0.0003
15,0.0003
16,0.0003
17,0.0003
18,0.0003
19,0.0003
20,0.001
21,0.001
22,0.001
23,0.001
24,0.001
25,0.001
26,0.001
27,0.001
28,0.001
29,0.001
30,0.001
31,0.001
32,0.001
33,0.001
34,0.001
35,0.001
36,0.001
37,0.001
38,0.001
39,0.001
40,0.005
41,0.006
42,0.007
43,0.008
44,0.009000000000000001
45,0.01
46,0.011
47,0.012
48,0.013000000000000001
49,0.014000000000000002
50,0.015
51,0.016
52,0.017
53,0.018000000000000002
54,0.019
55,0.02
56,0.021
57,0.022000000000000002
58,0.023000000000000003
59,0.024
60,0.03
61,0.04
62,0.05
63,0.06
64,0.07
65,0.08
66,0.09
67,0.1
68,0.11
69,0.12
70,0.13
71,0.14
72,0.15
73,0.16
74,0.17
75,0.18
76,0.19
77,0.2
78,0.21
79,0.22
80,0.2
81,0.23
82,0.26
83,0.29000000000000004
84,0.32
85,0.35
86,0.38
87,0.41000000000000003
88,0.44
89,0.47000000000000003
90,0.5
91,0.53
92,0.56
93,0.5900000000000001
94,0.62
95,0.6499999999999999
96,0.6799999999999999
97,0.71
98,0.74
99,0.77
100,0.95
101,0.96
102,0.97
103,0.98
104,0.99
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
